 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
AssessFirst,02SCyo63q,32,5,-,RH,"Recrutez mieux, plus vite, plus facilement !",SaaS,B2B,-,,https://www.linkedin.com/company/1488999,2002,11-50,,assessfirst.com,https://www.assessfirst.com/,,pnom@assessfirst.com,-,n.a.,-
Wecasa,02SCy5Q,-,n.a.,-,Autres,"Votre expert Coiffure, Beauté, Ménage à domicile ...",Service,B2C,"Serena Capital, ISAI, Kernel Investissement","4,5",https://www.linkedin.com/company/10944310,2016,11-50,28,wecasa.fr,http://www.wecasa.fr,,,-,n.a.,-
Lavoir Moderne,01yChpjN2,-,n.a.,-,Autres,Pressing à domicile Paris,Service,B2C,Business angels,"5,0",https://www.linkedin.com/company/lavoir-moderne/,2012,11-50,31,lavoirmoderne.com,https://www.lavoirmoderne.com/,,,-,n.a.,-
Atempo Wooxo,01yChoSmI,12,"3,5",FT 120,Autres,Assistance aux victimes de cybermalveillance,Autres,B2B,-,,https://www.linkedin.com/company/atempo/,1992,51-200,-,atempo.wooxo.fr,https://atempo.wooxo.fr/,,,-,n.a.,-
Avis Vérifiés,02SCz07ET,-,n.a.,-,Legaltech,Solution d'avis clients,SaaS,B2B,Providence Strategic Growth,"32,0",https://www.linkedin.com/company/net-reviews/,2012,51-200,68,avis-verifies.com,https://www.avis-verifies.com/,,,-,n.a.,-
Typology,01rhCJNve,-,n.a.,-,Autres,"Démystifier l'industrie du soin. Nous concevons et produisons en France des produits sains et efficaces, à prix juste. à propos.",Produit,B2C,"Alven Capital, Firstminute Capital, Xavier Niel, Marc Simoncini","8,8",https://www.linkedin.com/company/typology/,2008,11-50,50,typology.com,https://www.typology.com/,,,-,n.a.,-
Braineet,02Q2Y3qwM,7,"3,7",-,Autres,"Priorisez, incubez et accélérez vos projets innovants avec la vitesse et l'efficacité d'une startup.",Service,B2B,-,,https://www.linkedin.com/company/5064341,2014,2-10,-,braineet.com,http://www.braineet.com,,,-,n.a.,-
Back Market,01yChoT,54,"4,8",Next 40,Ecommerce,Acheter & Vendre vos Appareils - N°1 du Reconditionné en France‎,Marketplace,B2C,-,,https://www.linkedin.com/company/4793443,2014,11-50,-,backmarket.fr,http://www.backmarket.fr,,"prénom.nom@backmarket.com, prénom@backmarket.fr",-,n.a.,-
Bam Tech,02QbCE0Ff,-,n.a.,-,Conseil / fonds,Agence experte design et développement mobile,Autres,B2B,-,,https://www.linkedin.com/company/bam.tech/,2014,51-200,-,bam.tech,https://www.bam.tech/,,,-,n.a.,-
Bankin',02L76UC,6,5,-,Fintech,La meilleure application pour gérer votre argent,Autres,B2C,-,"20,0",https://www.linkedin.com/company/bankin/,2011,51-200,103,bankin.com,https://bankin.com/,,,-,n.a.,-
Beekast,01yCiOvOx,20,"4,7",-,RH,Plateforme interactive de Réunions et Formations,SaaS,B2B,"M Capital Venture, Brighteye VC, Sofimac innovation","5,0",https://www.linkedin.com/company/5378575,2015,11-50,,beekast.com,https://www.beekast.com,,prénom@beekast.com,-,n.a.,-
Estimeo,02Lk88qY0,-,n.a.,-,Autres,Notation et valorisation de startups,Service,B2B,-,,https://www.linkedin.com/company/estimeo,2017,11-50,-,estimeo.com,https://estimeo.com/,,,-,n.a.,-
Believe,02SCyct,29,"3,8",Next 40,Autres,Leader mondial de la distribution musicale numérique et des services aux artistes et labels indépendants.,Service,B2B,-,,https://www.linkedin.com/company/167107,2005,201-500,13,believemusic.com,http://www.believemusic.com/,,,-,n.a.,-
Humind School,02IZAjzVa,-,n.a.,-,Autres,Humind School est la 1ère Ecole Sales & Business Development du Digital,Autres,B2C,-,,https://www.linkedin.com/school/humind-school/,2018,2-10,-,humindschool.com,https://www.humindschool.com/,,,-,n.a.,-
Octoly,02L7YESff,5,"3,9",Top Linkedin,Autres,Connect with vetted influencers and consumers for authentic product reviews across social media and eCommerce platforms.,Marketplace,B2B,-,,https://www.linkedin.com/company/octoly/,2013,11-50,-,octoly.com,https://www.octoly.com/,,,-,n.a.,-
Smash Group,02SCyC2,-,n.a.,-,Conseil / fonds,"Accompagnement sur vos fonctions back office : RH, juridique, Office Management et Direction Financière.",Service,B2B,Business angels,"1,5",https://www.linkedin.com/company/smashgroup/,2018,2-10,5,smashgroup.fr,https://smashgroup.fr/,,,-,n.a.,-
Bioserenity,02SEZLhxn,2,4,Next 40,Med / Biotech,Med / Biotech,Produit,B2C,"Dassault Systèmes, bpifrance, Idinvest, LBO","65,0",https://www.linkedin.com/company/bioserenity/,2014,51-200,-,bioserenity.com,https://www.bioserenity.com/,,,-,n.a.,-
BirchBox,02Q2XwzHl,157,"3,1",-,Ecommerce,La box qui déniche le meilleur de la beauté,Produit,B2C,-,,https://www.linkedin.com/company/946261,2010,201-500,14,birchbox.com,http://www.birchbox.com,,,-,n.a.,-
Bird Office,01yChkJOy,18,"3,9",Top Linkedin,Immobilier,"Location salle de réunion, formation, séminaire",Marketplace,B2B,-,,https://www.linkedin.com/company/3227659,2013,11-50,-,bird-office.com,http://www.bird-office.com,,prénom@bird-office.com,-,n.a.,-
Blablacar,02LkEjpMN,184,4,Next 40,Mobilité,Bus ou covoiturage ? Voyagez moins cher,Service,B2C,-,,https://www.linkedin.com/company/2479609,2006,501-1000,14,blablacar.com,http://www.blablacar.com,,"prénom.nom@blablacar.com, prénom@blablacar.com",-,n.a.,-
Blade Shadow,01yChrx8I,46,"4,6",Top Linkedin,Data,Blade est une société française spécialisée dans le cloud computing (ordinateur à distance) via son service « Shadow ».,SaaS,B2B,"Serena Capital, Erik Maris, Marc Simoncini, Philippe Lazare","30,0",https://www.linkedin.com/company/shadowpc/,2015,51-200,17,shadow.tech,http://shadow.tech,,,-,n.a.,-
eFounders,01yCiQB8C,14,"4,5",-,Conseil / fonds,We build the future of work,SaaS,B2B,-,,https://www.linkedin.com/company/1934114,2011,11-50,11,efounders.com,https://www.efounders.com/,,,-,n.a.,-
Hook,01yCiN2,-,n.a.,-,Conseil / fonds,Le programme d'accélération de l'école 42,Autres,B2B,"Idinvest, FJ Labs, 50 Partners","2,5",https://www.linkedin.com/school/joinhook/,2020,11-50,17,42entrepreneurs.com,https://42entrepreneurs.com/hook.html,,,-,n.a.,-
Capsens,02OCiHlnY,2,5,-,Conseil / fonds,L'agence web des fintechs,Autres,B2B,-,,https://www.linkedin.com/company/capsens-eu/,2013,11-50,-,capsens.eu,https://capsens.eu/,,,-,n.a.,-
GrowthMakers,02N5ag1QU,-,n.a.,-,Conseil / fonds,"Découvrez les méthodes et best practices du top 1% des startups. Chaque semaine, une stratégie marketing, une stratégie commerciale et des outils",Service,B2C,-,,https://www.linkedin.com/company/11255273,2017,2-10,-,growthmakers.fr,https://growthmakers.fr,,,-,n.a.,-
Botify,01yCiMNkF,41,4,FT 120,Marketing,"Search engines miss about half the content on enterprise websites. Uncover those hidden opportunities with Botify, the leading enterprise SEO platform!",SaaS,B2B,"Idinvest Partners, Ventech","17,5",https://www.linkedin.com/company/2793570,2012,51-200,-,botify.com,https://www.botify.com/,,,10-25M€,n.a.,-
Spark,02Q2M17Q4,-,n.a.,-,Conseil / fonds,Agence de conseil en marketing digital | Paid & SEO,Autres,B2B,-,,https://www.linkedin.com/company/sparkads/,2019,11-50,,spark.do,https://www.spark.do/,,,-,n.a.,-
Thiga,01yChokPy,1,5,Top Linkedin,Conseil / fonds,Thiga is a team of passionate experts in Product Management and Product Design.,Service,B2B,-,,https://www.linkedin.com/company/4998677,2013,11-50,,thiga.co,https://thiga.co,,prénom@thiga.fr,-,n.a.,-
PacketAI,02Q2UQv,-,n.a.,-,Cybersécurité,The first solution built to achieve zero downtime with AI-Native IT monitoring.,SaaS,B2B,"Aster Capital, BNP Paribas Developpement, Entrepreneur first, SGPA","2,1",https://www.linkedin.com/company/packet-ai/,2018,2-10,12,packetai.co,https://packetai.co/,,,-,n.a.,-
Brigad,01m4RPs09,45,5,-,RH,Brigad met en relation des établissements avec des profils qualifiés dans l'hôtellerie-restauration et l'événementiel.,Marketplace,B2B,"Serena Capital, Leap Ventures","6,0",https://www.linkedin.com/company/brigad/,2015,51-200,35,brigad.co,https://brigad.co/,,,-,n.a.,-
Brut,02N5ag1P5,17,"2,2",FT 120,Marketing,Le média global 100% vidéo - Brut.,Ads,B2B,"Red River West, Blisce, bpifrance, Cassius, Next World","35,9",https://www.linkedin.com/company/brut-de-com/,2020,2-10,183,brutdecom.fr,https://brutdecom.fr,,prénom@brutdecom.fr,-,n.a.,-
Yogosha,02OD79t,-,n.a.,-,Cybersécurité,Plateforme de bug bounty privée aidant les entreprises,SaaS,B2B,"OneRagTime, BNP Paribas Développement, Axeleo Capital","2,0",https://www.linkedin.com/company/yogosha/,2015,11-50,12,yogosha.com,https://yogosha.com/fr/,,,-,n.a.,-
Cailabs,01wa3YA,-,n.a.,-,Data,Leader mondial des mises en forme de la lumière,Autres,B2B,"Supernova Invest, Definvest, Safran Corporate Ventures, Innovacom, Starquest Capital","8,0",https://www.linkedin.com/company/cailabs/,2013,51-200,45,cailabs.com,https://www.cailabs.com/,,,-,n.a.,-
Fair&Smart,02Q2UxL,-,n.a.,-,Cybersécurité,"Au-delà de la conformité au RGPD, Fair&Smart propose des solutions clés en main aux entreprises qui souhaitent construire une relation plus transparente et plus forte avec leurs clients.",SaaS,B2B,"ILP Innovation, Yeast, Bpifrance","2,2",https://www.linkedin.com/company/fair&smart/,2016,2-10,13,fairandsmart.com,https://www.fairandsmart.com/,,,-,n.a.,-
Calm,02SCyFfc2,-,n.a.,-,Divertissement,The #1 App for Meditation and Sleep,Autres,B2C,-,,https://www.linkedin.com/company/calm-com/,2012,51-200,,calm.com,https://www.calm.com/,,,-,n.a.,-
Bleckwen,02IZAkC,1,5,-,Cybersécurité,Proven fraud detection system that helps financial institutions build trust with customers. ,SaaS,B2B,"Ring Capital, Tempocap, Bpifrance, Ineo","8,8",https://www.linkedin.com/company/bleckwen/,2016,11-50,14,bleckwen.ai,https://bleckwen.ai/,,,-,n.a.,-
